,Subscription ID,AOI,Object type/class,SIF Env,Source ID,Date indexed,Ingested to next table,Ingested to live table,Stats Report Link,Description
0,f505ac3b-e85a-435d-bea3-286571d601ae,"Dubai, UAE",Buildings,Next,feed_2af5d7d9-b907-4d52-a4f5-b10e4787ad5b,5/5/2020,zonal-stats-next-v2,,,"Dubai, UAE Buildings - SIF Next : f505ac3b-e85a-435d-bea3-286571d601ae"
1,1e60f373-f05c-4206-a6cb-cbc8a0074753,"Dubai, UAE",Building State,Next,feed_8ea8c16e-659d-40e1-8985-1be834d660bf,5/5/2020,zonal-stats-next-v2,,,"Dubai, UAE Building State - SIF Next : 1e60f373-f05c-4206-a6cb-cbc8a0074753"
2,d6231db9-c410-4959-9f91-3766e5762965,"Dubai, UAE",Road State,Next,feed_91b05621-53a3-4e09-bb18-6480374fb82d,5/5/2020,zonal-stats-next-v2,,https://sif-next.prod.planet-labs.com/stats/e91baefd-bf23-4e47-a901-f2eea0adacd8/report,"Dubai, UAE Road State - SIF Next : d6231db9-c410-4959-9f91-3766e5762965"
3,2bf5305e-90d1-40c7-a5be-17dbd4080d2b,"Dubai, UAE",Roads,Next,feed_ef5bc202-beab-4926-9a33-50ed84accd1f,5/5/2020,zonal-stats-next-v2,,,"Dubai, UAE Roads - SIF Next : 2bf5305e-90d1-40c7-a5be-17dbd4080d2b"
4,c9f69919-95a5-463e-ab03-85eb96b032f1,Burning Man,Buildings,Next,feed_9d5d3e70-e4ab-4f2e-a723-0de1a7cac370,5/5/2020,zonal-stats-next-v2,,https://sif-next.prod.planet-labs.com/stats/e7445a03-9814-49ca-a6cd-9cf62c7aa998/report,Burning Man Buildings - SIF Next : c9f69919-95a5-463e-ab03-85eb96b032f1
5,793637b3-c805-4927-9cef-48f5d734006b,Egypt,Roads,Live,feed_36d9d1b0-dcd4-40bc-b411-5eb8e06062a2,5/5/2020,,zonal-stats-live-v2,,Egypt Roads - SIF Live : 793637b3-c805-4927-9cef-48f5d734006b
6,690e1374-d3d0-4bff-88ea-f19a80c43a19,Egypt,Buildings,Live,feed_b442c53b-fc72-4bee-bab4-0b7aa318ccd9,5/11/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/17170ee5-5ddd-4636-9182-f18f4586683f/report,Egypt Buildings - SIF Live : 690e1374-d3d0-4bff-88ea-f19a80c43a19
7,90f1fa69-b997-47b9-9136-e58ebae9238a,Texas,Buildings,Live,feed_b442c53b-fc72-4bee-bab4-0b7aa318ccd9,,,,,Texas Buildings - SIF Live : 90f1fa69-b997-47b9-9136-e58ebae9238a
8,421a8354-0785-4eae-8dbb-ce1be1f7b8f1,Texas,Roads,Live,feed_36d9d1b0-dcd4-40bc-b411-5eb8e06062a2,5/10/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/1a823016-88e8-463b-b450-fa4ee81e9664/report,Texas Roads - SIF Live : 421a8354-0785-4eae-8dbb-ce1be1f7b8f1
9,2c6ab2db-5dce-45a3-9334-cce46687b6ee,"Wuhan, China (TEST)",Airplanes,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,,"Wuhan, China (TEST) Airplanes - SIF Next : 2c6ab2db-5dce-45a3-9334-cce46687b6ee"
10,4c51fc98-d8c4-4563-9526-67b4aeeb424d,"Wuhan, China",Airplanes,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,,"Wuhan, China Airplanes - SIF Next : 4c51fc98-d8c4-4563-9526-67b4aeeb424d"
11,b6d7cf84-bd57-4d62-a4ea-53c53b4aa0db,"Wuhu, China",Ships,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,https://sif-next.prod.planet-labs.com/stats/d590e698-a029-4298-bb43-3db41fcc3ec2/report,"Wuhu, China Ships - SIF Next : b6d7cf84-bd57-4d62-a4ea-53c53b4aa0db"
12,cc2029a8-82a4-439c-bcc4-1b2826fe861a,"Wuhan, China",Ships,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,,"Wuhan, China Ships - SIF Next : cc2029a8-82a4-439c-bcc4-1b2826fe861a"
13,ab4b2137-2fc0-4c07-b517-7c0041a45973,"Dubai, UAE",Airplanes,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/a925f1c7-aff8-4395-a2e1-5ad9f2508bac/report,"Dubai, UAE Airplanes - SIF Live : ab4b2137-2fc0-4c07-b517-7c0041a45973"
14,a909892f-4216-4a7f-a76c-cafd90443994,"Victorville, California",Airplanes,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/cbac901e-0cd5-43f6-9a0b-62446ec7e136/report,"Victorville, California Airplanes - SIF Live : a909892f-4216-4a7f-a76c-cafd90443994"
15,af53f2c2-45ba-4960-874b-8f87fddda1fc,"Wuhan, China",Airplanes,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/b25e8ed2-a738-4e74-ad7b-76b9318b14a6/report,"Wuhan, China Airplanes - SIF Live : af53f2c2-45ba-4960-874b-8f87fddda1fc"
16,4c8c825a-313c-4f00-8b7b-1e0966829488,"Venice, Italy",Ships,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/326d6a6c-ee31-4b94-8f85-db9b2cd8789b/report,"Venice, Italy Ships - SIF Live : 4c8c825a-313c-4f00-8b7b-1e0966829488"
17,13632f1d-47d6-42c9-b833-7d360b1a0e28,"Shanghai, China",Ships,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/7c8965a9-54ac-46e2-b5c9-a3655341957f/report,"Shanghai, China Ships - SIF Live : 13632f1d-47d6-42c9-b833-7d360b1a0e28"
18,625a31fc-d3a8-476d-b0e7-fea6d0196e21,Singapore,Ships,Live,scene_udms_v4,5/8/2020,,zonal-stats-live-v2,https://sif-live.prod.planet-labs.com/stats/bfb54521-8cfe-4116-ad43-962c2a5ed67a/report,Singapore Ships - SIF Live : 625a31fc-d3a8-476d-b0e7-fea6d0196e21
19,8a2669eb-fa13-4ce1-b863-3d53d4767889,SoCal logistics airport,Planes,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,,SoCal logistics airport Planes - SIF Next : 8a2669eb-fa13-4ce1-b863-3d53d4767889
20,0ce237af-11c6-4be4-8d2e-29c4a42fa1d2,"Tehran, Iran",Planes,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,,"Tehran, Iran Planes - SIF Next : 0ce237af-11c6-4be4-8d2e-29c4a42fa1d2"
21,fb3e4a4e-0794-49ea-b825-e1a9b6c18884,"Shanghai, China",Ships,Next,scene_udms_v4,5/8/2020,zonal-stats-next-v2,,https://sif-next.prod.planet-labs.com/stats/1c3a727e-4484-484c-821c-76478668af78/report,"Shanghai, China Ships - SIF Next : fb3e4a4e-0794-49ea-b825-e1a9b6c18884"
